Part,Manufacturer Part Number,Quantity
U2,ESP32-WROOM-32,1
U5,MCP6001T-I/OT,1
U3,24AA32AFT-I/OT,1
U8,MCP7940N-I/MS,1
Y1,ABS07-166-32.768KHZ-T,1
U4,ADS1015IDGSR,1
U6,TLV75533PDBVR,1
U7,DIO5158XM8,1
Q1,NX7002AKVL,1
N/A,RP1065,1
N/A,313070004,1
"C1,C2,C3,C4,C5",885012207022,6
BT1,92,2
D1,"BZX84J-B6V2,115",1
R4,CRL0805-FW-R750ELF,1
R5,CRL0603-FW-5R10ELF,1
"R3,R8,R12,R14",RC0603FR-07330RL,4
"R9,R11,R17,R6",RR0816P-473-D,4
"R7,R10",RR0816P-153-D,2
R2,RR0816P-104-D,1
"R15,R16,R1",RR0816P-102-D,3
"R18,R19",RC0603FR-07470KL,2
N/A,R4-40X3/8,1
N/A,4694,1
N/A,31428,1
D3,"DF3A5.6LFU,LF",1
U1,MCP9700T-E/TT,1
"IO0,IO2",929870-01-02-RB,1
PROG,929870-01-04-RA,1
D2,150060RS75000,1